15
ABC BAC
Someone Stonecold
Applebees Geronimo
somebodyoncetoldmetheworldwasgonnarollme iaintthesharpesttoolintheshediwaslookingkindadumb
withafingerandathumbintheshapeofanLonherforehead haveyoueverheardthetragedyofdarthplagueisthewise
ithoughtnotitsnotastorythejediwouldtellyouitsasithlegend darthplagueswasadarklordofthesithsopowerfulandsowise
hecouldusetheforcetoinfluencethemidichlorianstocreatelifehehadsuchaknowledgeofthedarksidethathecouldevenkeeptheoneshecaredaboutfromdying thedarksideoftheforceisapathwaytomanyabilitiessomeconsidertobeunnaturalhebecamesopowerfultheonlythinghewasafraidofwaslosinghispower
whicheventuallyofcoursehedidunfortunatelyhetaughthisapprentice everythingheknewthenhisapprenticekilledhiminhissleep
ironichecouldsaveothersfromdeathbutnothimself isitpossibletolearnthispowernotfromajedi
APPLESANDBANANA AEGEANSEA
albanian serbian
abcdefg abcdefg
AbCdEfG abcdefg
ABCDEFG aBcDeFg
ABCDEFG abcdefg
